"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"78","take it slow.

#<e3><83><95><e3><82><a3><e3><83><ab><e3><83><a0> #pentax67 #<e3><83><90><e3><82><b1><e3><83><9a><e3><83><b3> #reco_ig #makeportraits #mediumformat #japaneserestaurant<e2><80><a6> https://t.co/m70xInsCyL",FALSE,0,NA,2017-05-09 00:11:24,FALSE,NA,"861735318692782080",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","charlie_",0,FALSE,FALSE,"-122.4115974","37.7576139"
"79","Never a bad sign! #vanguardproperties #sanfrancisco #sfrealestate @ Vanguard Properties https://t.co/3DT3LBEw3U",FALSE,0,NA,2017-05-09 00:04:57,FALSE,NA,"861733693731352576",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kevho",0,FALSE,FALSE,"-122.41869688","37.75682611"
"81","Missing the city and its beautiful views @ Mission Dolores Park https://t.co/68mHJ08dLR",FALSE,0,NA,2017-05-08 23:56:15,FALSE,NA,"861731503973085184",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hoe_kravitz",0,FALSE,FALSE,"-122.4275","37.75833333"
"83","Just posted a photo @ Trick Dog https://t.co/jYUk9lEonV",FALSE,0,NA,2017-05-08 23:46:47,FALSE,NA,"861729122292187136",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RomeinCali",0,FALSE,FALSE,"-122.4111395","37.7592473"
"84","#travel #deli #youandme  rueda rueda PIGNOSE  PIGNOSE  @ Mission District, San Francisco https://t.co/BELhjySKMp",FALSE,0,NA,2017-05-08 23:42:52,FALSE,NA,"861728138337935360",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JILIUS_INC",0,FALSE,FALSE,"-122.42","37.76"
"87","You might be one if you know this marking...  NERDFACE  #vintageknife #vintageknives #dohrco #nerdingout<e2><80><a6> https://t.co/hFqH3g1Pmq",FALSE,0,NA,2017-05-08 23:13:28,FALSE,NA,"861720738000244736",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Bernalcutlery",0,FALSE,FALSE,"-122.42361","37.76176"
"89","#Repost ilove_sanfrancisco with @repostapp
<e3><83><bb><e3><83><bb><e3><83><bb>
Photo by jcarlosimages 
Send your photo to us in<e2><80><a6> https://t.co/c8ANdiSoK0",FALSE,0,NA,2017-05-08 22:43:44,FALSE,NA,"861713254971604992",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","marciojmsilva",0,FALSE,FALSE,"-122.41829","37.75265"
"91","This beef tartare is what dreams are made of  FACESAVOURINGDELICIOUSFOOD  but seriously, I dreamed of this last night<e2><80><a6> https://t.co/PATYj01fsq",FALSE,1,NA,2017-05-08 22:38:37,FALSE,NA,"861711968771731462",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","shanmreed",0,FALSE,FALSE,"-122.4118648","37.7618469"
"92"," SWEATSPLASHINGSYMBOL  PINEAPPLE  TANGERINE  @ Mission District, San Francisco https://t.co/wXWCqE934Y",FALSE,0,NA,2017-05-08 22:11:14,FALSE,NA,"861705077786120192",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bashsash",0,FALSE,FALSE,"-122.42","37.76"
"93","Far West Fungi Candy Cap ice cream. @ Humphry Slocombe https://t.co/BDwtkJ6ZAH",FALSE,0,NA,2017-05-08 22:08:18,FALSE,NA,"861704338929967104",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JoeGramc",0,FALSE,FALSE,"-122.4122009","37.7527885"
"94"," ROBOTFACE  FLAGOFUNITEDSTATESOFAMERICA  @ Mission District, San Francisco https://t.co/kPfph4JvHp",FALSE,0,NA,2017-05-08 22:01:16,FALSE,NA,"861702568744976384",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bashsash",0,FALSE,FALSE,"-122.42","37.76"
"96","Back in stock! My #fucktrump Nomadic Pouch- 50% of sale goes to Planned Parenthood. Do you part<e2><80><a6> https://t.co/UnvoCDVkTI",FALSE,2,NA,2017-05-08 21:48:29,FALSE,NA,"861699349021065216",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","basilracuk",0,FALSE,FALSE,"-122.42062","37.76196"
"97","Tonight! Every 2nd Monday of the month, The Bowties (9-Midnight) <e2><80><93> a group of voracious<e2><80><a6> https://t.co/pnnCletwZB",FALSE,0,NA,2017-05-08 21:45:16,FALSE,NA,"861698542322106368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AmnesiaBar",0,FALSE,FALSE,"-122.42128403","37.7593317"
