"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"807","#dragon #flower #florals #mural #art ARTISTPALETTE  #streetstyle #colors #asian #sun @ Mission District, San<e2><80><a6> https://t.co/iK0xaWOYSS",FALSE,1,NA,2017-05-04 18:17:58,FALSE,NA,"860196822051991552",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",0,FALSE,FALSE,"-122.42","37.76"
"808","#sun #dial #aztagram #culture #artwork #artist #native #sunny #sunshine #trees @ Mission<e2><80><a6> https://t.co/KE4ZDqxsNt",FALSE,0,NA,2017-05-04 18:14:39,FALSE,NA,"860195985565380609",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",0,FALSE,FALSE,"-122.42","37.76"
"809","Man this place is SO good! Forgot to take a before shot...babygirl was ready to eat! @ Wise Sons<e2><80><a6> https://t.co/NjotAyZMJB",FALSE,0,NA,2017-05-04 18:13:16,FALSE,NA,"860195638566244353",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MaeMaeVsFood",0,FALSE,FALSE,"-122.41533","37.75255"
"810","Masters at work! Enjoying some time out @sfmanufactory #ontherise #sanfracisco #bakery<e2><80><a6> https://t.co/YEPzoS2EpI",FALSE,0,NA,2017-05-04 18:08:22,FALSE,NA,"860194404593799172",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","glenproebstel",0,FALSE,FALSE,"-122.4118648","37.7618469"
"811","Early free show: The lovely, hypnotic music of Jessi Adele (PDX) for happy hour. No cover, tips<e2><80><a6> https://t.co/bjbeaHkCyX",FALSE,0,NA,2017-05-04 18:04:12,FALSE,NA,"860193355979816960",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AmnesiaBar",0,FALSE,FALSE,"-122.42128403","37.7593317"
"812","Beyond excited to announce that Damn Fine Pie! A Twin Peaks Gangbang Parody is live on<e2><80><a6> https://t.co/TyCjh0VpTW",FALSE,13,NA,2017-05-04 18:02:48,FALSE,NA,"860193005868912640",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MaitresseM",5,FALSE,FALSE,"-122.42033625","37.76797547"
"813","Okkervil River at The Chapel. @ The Chapel https://t.co/1Mk8dynf1F",FALSE,1,NA,2017-05-04 17:52:07,FALSE,NA,"860190316522909696",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","zumwalt",0,FALSE,FALSE,"-122.42139473","37.76053837"
"814","#international #filmnoir #filmfestival #starts on #cincodemayo Friday May 5 roxie_theater<e2><80><a6> https://t.co/3PJ2jsIwxI",FALSE,1,NA,2017-05-04 17:47:35,FALSE,NA,"860189172891561985",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","IndigSF",1,FALSE,FALSE,"-122.42243","37.76474"
"815","May the Fourth be With You! #recurlylife @ Recurly https://t.co/9N5PwBZSyH",FALSE,1,NA,2017-05-04 17:46:11,FALSE,NA,"860188822314917888",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","choyberg",1,FALSE,FALSE,"-122.41261","37.7638"
"816","#TBT AKA Tartine Bakery Thursdays  CROISSANT  BREAD  BAGUETTEBREAD  HONEYPOT  @ Tartine Manufactory https://t.co/tGCh7o3lk4",FALSE,0,NA,2017-05-04 17:27:05,FALSE,NA,"860184017932607488",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kenjtran",0,FALSE,FALSE,"-122.4118648","37.7618469"
